Zaman_Adimi,Yil,Ay,Tarih,NDWI
306,2017,10,2017-10,-0.1455057986643207
307,2017,11,2017-11,-0.13096516472660108
308,2017,12,2017-12,-0.14720992028343666
309,2018,1,2018-01,-0.13324325502331866
310,2018,3,2018-03,-0.1633818382759256
311,2018,4,2018-04,-0.17407833699557043
312,2018,5,2018-05,-0.17074827365005094
313,2018,6,2018-06,-0.1743940990516333
314,2018,7,2018-07,-0.1746518265933603
315,2018,8,2018-08,-0.16464079788062957
316,2018,9,2018-09,-0.1544744109524649
317,2018,11,2018-11,-0.14721345951629863
318,2019,3,2019-03,-0.13846153846153847
319,2019,5,2019-05,-0.17033532979819174
320,2019,6,2019-06,-0.1634368347647361
321,2019,7,2019-07,-0.1699474079639369
322,2019,8,2019-08,-0.1682148895347733
323,2019,9,2019-09,-0.15592178454924294
324,2019,10,2019-10,-0.15365876687753754
325,2019,11,2019-11,-0.14190381222673928
326,2020,1,2020-01,-0.12892497732475272
327,2020,3,2020-03,-0.1367386051162403
328,2020,4,2020-04,-0.1301436623299572
329,2020,5,2020-05,-0.14541869722108552
330,2020,6,2020-06,-0.15349829037832274
331,2020,7,2020-07,-0.16585623486131598
332,2020,8,2020-08,-0.1700404858299595
333,2020,9,2020-09,-0.15861436950146626
334,2020,10,2020-10,-0.16752944707029785
335,2021,1,2021-01,-0.15477131799076116
336,2021,3,2021-03,-0.17109289411053605
337,2021,4,2021-04,-0.17961397940731447
338,2021,5,2021-05,-0.17622311681717623
339,2021,6,2021-06,-0.177675894903897
340,2021,7,2021-07,-0.1647374691061681
341,2021,8,2021-08,-0.1607229364635737
342,2021,9,2021-09,-0.15715604801477379
343,2021,10,2021-10,-0.13196458843473347
344,2021,11,2021-11,-0.1343656243078348
345,2021,12,2021-12,-0.15041252379944997
346,2022,1,2022-01,-0.12743251726302574
347,2022,2,2022-02,-0.17494033412887827
348,2022,4,2022-04,-0.13030017259479368
349,2022,5,2022-05,-0.17533575721599762
350,2022,6,2022-06,-0.17243240325975498
351,2022,7,2022-07,-0.1693091931798207
352,2022,8,2022-08,-0.16712162572035183
353,2022,9,2022-09,-0.1416850074830531
354,2022,10,2022-10,-0.12917982582065268
355,2022,11,2022-11,-0.12697674418604651
356,2023,2,2023-02,-0.1326691999589196
357,2023,4,2023-04,-0.1409769585253456
358,2023,5,2023-05,-0.15434584205722876
359,2023,6,2023-06,-0.15778338906708525
360,2023,7,2023-07,-0.15405546645522858
361,2023,8,2023-08,-0.15628290471686326
362,2023,9,2023-09,-0.14615412354404816
363,2023,10,2023-10,-0.13946988313417996
364,2023,12,2023-12,-0.10679851668726824
365,2024,2,2024-02,-0.11767975134311769
366,2024,4,2024-04,-0.15843578523303467
367,2024,5,2024-05,-0.16172177697574439
368,2024,6,2024-06,-0.14573643410852713
369,2024,7,2024-07,-0.15723426505255322
370,2024,8,2024-08,-0.14435563538392457
371,2024,9,2024-09,-0.1405691984831192
372,2024,10,2024-10,-0.14074358728023825
373,2024,11,2024-11,-0.1570379645967329
374,2024,12,2024-12,-0.16174598612080648
375,2025,1,2025-01,-0.1538193376397006
376,2025,2,2025-02,-0.13867138166203588
377,2025,3,2025-03,-0.1729187080552423
378,2025,4,2025-04,-0.16989819777689846
379,2025,5,2025-05,-0.14552870144442268
380,2025,6,2025-06,-0.1723387450636244
381,2025,8,2025-08,-0.17643147395640932
382,2025,9,2025-09,-0.15746606334841629
383,2025,10,2025-10,-0.1517677937316659
384,2025,11,2025-11,-0.14976357410728844
385,2025,12,2025-12,-0.13624288425047437
386,2026,1,2026-01,0.5266217498114951
387,2026,2,2026-02,-0.1244553168717988
388,2026,3,2026-03,-0.14050844877454713
389,2026,4,2026-04,-0.12528756618586817
390,2026,5,2026-05,-0.1363628428274646
391,2026,6,2026-06,-0.12983030055203434
392,2026,7,2026-07,-0.15246182339169026
